2021-09-02 09:19:45.240 INFO  io.lettuce.core.protocol.CommandHandler Line:217 - null Unexpected exception during request: java.io.IOException: 远程主机强迫关闭了一个现有的连接。
java.io.IOException: 远程主机强迫关闭了一个现有的连接。
	at sun.nio.ch.SocketDispatcher.read0(Native Method)
	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:43)
	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:223)
	at sun.nio.ch.IOUtil.read(IOUtil.java:192)
	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:379)
	at io.netty.buffer.PooledByteBuf.setBytes(PooledByteBuf.java:253)
	at io.netty.buffer.AbstractByteBuf.writeBytes(AbstractByteBuf.java:1132)
	at io.netty.channel.socket.nio.NioSocketChannel.doReadBytes(NioSocketChannel.java:350)
	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:151)
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:719)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:655)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:581)
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:493)
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989)
	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:748)
2021-09-02 09:53:03.984 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:53:44.084 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:54:24.189 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:55:04.284 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:55:44.385 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:56:24.488 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:57:04.591 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:57:44.690 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:58:24.785 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:59:04.893 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:59:44.987 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:00:25.087 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:01:05.184 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:01:45.289 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:02:25.385 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:03:05.489 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:03:45.590 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:04:25.684 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:05:05.787 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:05:45.885 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:06:25.985 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:07:06.084 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:07:46.193 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 10:08:26.290 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
